Path,Value in File 1,Value in File 2,Comparison Result
APPLICATION.DECISIONRSP.APPID,100573489,100573492,False
APPLICATION.DECISIONRSP.FRAUDINFORSP.APPLICATION.APPCURRENTTIME,13:57:16,14:02:03,False
APPLICATION.DECISIONRSP.FRAUDINFORSP.APPLICATION.APPUPDATETIME,13:57:30,14:02:06,False
APPLICATION.DECISIONRSP.FRAUDINFORSP.APPLICATION.MATCHJUNIPERAPPID,100573486,100573489,False
APPLICATION.DECISIONRSP.FRAUDINFORSP.DERIVEDATA.MATCHAPPLICATIONIDS,100573486:100573484:100775783:100775653:111536782:100775644:111536652,100573489:100573486:100573484:100775783:100775653:111536782:100775644,False
APPLICATION.DECISIONRSP.FRAUDINFORSP.DERIVEDATA.NUMSAMEPARTNERAPPS,653,654,False
APPLICATION.DECISIONRSP.FRAUDINFORSP.DERIVEDATA.NUMSAMEPARTNERPENDEDAPPS,429,430,False
APPLICATION.DECISIONRSP.FRAUDINFORSP.DERIVEDATA.NUMTOTALAPPS,653,654,False
APPLICATION.DECISIONRSP.FRAUDINFORSP.DERIVEDATA.ORIGINALSSNNUMTOTALAPPS,653,654,False
APPLICATION.DECISIONRSP.FRAUDINFORSP.IDADATA.APPID,100573489,100573492,False
