2025-10-09 08:56:24 - APITestFramework - INFO - Framework initialized - Run ID: 100003
2025-10-09 08:56:24 - APITestFramework - INFO - Response folder: TestResponse\100003
2025-10-09 08:56:24 - APITestFramework - INFO - Report folder: Report\100003
2025-10-09 08:56:24 - APITestFramework - INFO - Preparing test data: regular
2025-10-09 08:56:24 - APITestFramework - INFO - Processing regular test data...
2025-10-09 08:56:24 - APITestFramework - INFO - Starting test data processing for FullSetRequest
2025-10-09 08:56:24 - APITestFramework - INFO - Last APPID value in Excel: 100567578
2025-10-09 08:56:25 - APITestFramework - INFO - Excel file updated successfully with 1880 records
2025-10-09 08:56:25 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_01.json with APPID: 100567579
2025-10-09 08:56:25 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_02.json with APPID: 100567580
2025-10-09 08:56:25 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_03.json with APPID: 100567581
2025-10-09 08:56:25 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_04.json with APPID: 100567582
2025-10-09 08:56:25 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_05.json with APPID: 100567583
2025-10-09 08:56:25 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_06.json with APPID: 100567584
2025-10-09 08:56:25 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_07.json with APPID: 100567585
2025-10-09 08:56:25 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_08.json with APPID: 100567586
2025-10-09 08:56:25 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_09.json with APPID: 100567587
2025-10-09 08:56:25 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_10.json with APPID: 100567588
2025-10-09 08:56:25 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_11.json with APPID: 100567589
2025-10-09 08:56:25 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_12.json with APPID: 100567590
2025-10-09 08:56:26 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_13.json with APPID: 100567591
2025-10-09 08:56:26 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_14.json with APPID: 100567592
2025-10-09 08:56:26 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_15.json with APPID: 100567593
2025-10-09 08:56:26 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_16.json with APPID: 100567594
2025-10-09 08:56:26 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_17.json with APPID: 100567595
2025-10-09 08:56:26 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_18.json with APPID: 100567596
2025-10-09 08:56:26 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_19.json with APPID: 100567597
2025-10-09 08:56:26 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_20.json with APPID: 100567598
2025-10-09 08:56:26 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_21.json with APPID: 100567599
2025-10-09 08:56:26 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_22.json with APPID: 100567600
2025-10-09 08:56:26 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_23.json with APPID: 100567601
2025-10-09 08:56:26 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_24.json with APPID: 100567602
2025-10-09 08:56:26 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_25.json with APPID: 100567603
2025-10-09 08:56:26 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_26.json with APPID: 100567604
2025-10-09 08:56:26 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_27.json with APPID: 100567605
2025-10-09 08:56:26 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_28.json with APPID: 100567606
2025-10-09 08:56:27 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_29.json with APPID: 100567607
2025-10-09 08:56:27 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_30.json with APPID: 100567608
2025-10-09 08:56:27 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_31.json with APPID: 100567609
2025-10-09 08:56:27 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_32.json with APPID: 100567610
2025-10-09 08:56:27 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_33.json with APPID: 100567611
2025-10-09 08:56:27 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_34.json with APPID: 100567612
2025-10-09 08:56:27 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_35.json with APPID: 100567613
2025-10-09 08:56:27 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_36.json with APPID: 100567614
2025-10-09 08:56:27 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_37.json with APPID: 100567615
2025-10-09 08:56:27 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_38.json with APPID: 100567616
2025-10-09 08:56:27 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_39.json with APPID: 100567617
2025-10-09 08:56:27 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_40.json with APPID: 100567618
2025-10-09 08:56:27 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_41.json with APPID: 100567619
2025-10-09 08:56:27 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_42.json with APPID: 100567620
2025-10-09 08:56:27 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_43.json with APPID: 100567621
2025-10-09 08:56:27 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_44.json with APPID: 100567622
2025-10-09 08:56:27 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_45.json with APPID: 100567623
2025-10-09 08:56:28 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_46.json with APPID: 100567624
2025-10-09 08:56:28 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_47.json with APPID: 100567625
2025-10-09 08:56:28 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_48.json with APPID: 100567626
