2025-10-09 09:17:57 - APITestFramework - INFO - Processed file: ACQ_EXPBaseline_Business_App_1071009999.json with APPID: 100569511
2025-10-09 09:17:57 - APITestFramework - INFO - Processed file: ACQ_PID_Approve_Business_App_01.json with APPID: 100569512
2025-10-09 09:17:57 - APITestFramework - INFO - Processed file: ACQ_PID_Approve_Business_App_02.json with APPID: 100569513
2025-10-09 09:17:57 - APITestFramework - INFO - Processed file: ACQ_PID_Approve_Business_App_1069120001_01.json with APPID: 100569514
2025-10-09 09:17:58 - APITestFramework - INFO - Processed file: ACQ_PID_Approve_Business_App_1069120001_02.json with APPID: 100569515
2025-10-09 09:17:58 - APITestFramework - INFO - Processed file: ACQ_PID_Approve_Business_App_1071009999_01.json with APPID: 100569516
2025-10-09 09:17:58 - APITestFramework - INFO - Processed file: ACQ_PID_Approve_Business_App_1071009999_02.json with APPID: 100569517
2025-10-09 09:17:58 - APITestFramework - INFO - Processed file: ACQ_TriRefer_Business_App_01.json with APPID: 100569518
2025-10-09 09:17:58 - APITestFramework - INFO - Processed file: ACQ_TriRefer_Business_App_02.json with APPID: 100569519
2025-10-09 09:17:58 - APITestFramework - INFO - Processed file: ACQ_TriRefer_Business_App_1069120001_01.json with APPID: 100569520
2025-10-09 09:17:58 - APITestFramework - INFO - Processed file: ACQ_TriRefer_Business_App_1069120001_02.json with APPID: 100569521
2025-10-09 09:17:58 - APITestFramework - INFO - Processed file: ACQ_TriRefer_Business_App_1071009999_01.json with APPID: 100569522
2025-10-09 09:17:58 - APITestFramework - INFO - Processed file: ACQ_TriRefer_Business_App_1071009999_02.json with APPID: 100569523
2025-10-09 09:17:58 - APITestFramework - INFO - Processed file: CLI-1_01.json with APPID: 100569524
2025-10-09 09:17:58 - APITestFramework - INFO - Processed file: CLI-1_02.json with APPID: 100569525
2025-10-09 09:17:58 - APITestFramework - INFO - Processed file: CLI-1_03.json with APPID: 100569526
2025-10-09 09:17:58 - APITestFramework - INFO - Processed file: CLI-1_04.json with APPID: 100569527
2025-10-09 09:17:58 - APITestFramework - INFO - Processed file: CLI-1_05.json with APPID: 100569528
2025-10-09 09:17:58 - APITestFramework - INFO - Processed file: CLI-1_06.json with APPID: 100569529
2025-10-09 09:17:58 - APITestFramework - INFO - Processed file: CLI-1_07.json with APPID: 100569530
2025-10-09 09:17:58 - APITestFramework - INFO - Processed file: CLI-1_08.json with APPID: 100569531
2025-10-09 09:17:58 - APITestFramework - INFO - Processed file: CLI-1_09.json with APPID: 100569532
2025-10-09 09:17:59 - APITestFramework - INFO - Processed file: CLI-1_10.json with APPID: 100569533
2025-10-09 09:17:59 - APITestFramework - INFO - Processed file: CLI-2_01.json with APPID: 100569534
2025-10-09 09:17:59 - APITestFramework - INFO - Processed file: CLI-2_02.json with APPID: 100569535
2025-10-09 09:17:59 - APITestFramework - INFO - Processed file: CLI-2_03.json with APPID: 100569536
2025-10-09 09:17:59 - APITestFramework - INFO - Processed file: CLI-2_04.json with APPID: 100569537
2025-10-09 09:17:59 - APITestFramework - INFO - Processed file: CLI-2_05.json with APPID: 100569538
2025-10-09 09:17:59 - APITestFramework - INFO - Processed file: CLI-2_06.json with APPID: 100569539
2025-10-09 09:17:59 - APITestFramework - INFO - Processed file: CLI-2_07.json with APPID: 100569540
